name,rank,total,comps,details
Julia Jakobsen,1,165,3,"iF3 Worlds '24 (4.pl; 75pts), GTD'24 (5.pl; 48pts), iF3 Euros '24 (2.pl; 42pts)"
Sarah Antonia Ziemens,2,89,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), FTD '25 MMFF (8.pl; 26pts), Czech TD (2.pl; 13pts)"
Jana Geertz,3,86,3,"FTD '25 MMFF (2.pl; 38pts), GTD'24 (7.pl; 32pts), Lions '25 (2.pl; 16pts)"
Vivien-Marie Christian,4,81,3,"iF3 Worlds '24 MMFF (3.pl; 50pts), DBVfF DM'25 (2.pl; 16pts), BtB '24 FF (1.pl; 15pts)"
Lidia Barto,5,46,3,"Liege (1.pl; 20pts), GTD'24 (9.pl; 16pts), FTD '25 MMFF (16.pl; 10pts)"
Katharina Isele,6,45,1,FTD '25 (26.pl; 45pts)
Susan Treppner,7,33,3,"BtB '24 FF (1.pl; 15pts), Bohemian TD '25 (3.pl; 12pts), Amsterdam (3.pl; 6pts)"
Diana Vetter,8,30,1,CISM Euro'24 (1.pl; 30pts)
Caroline Müller-Korn,9,28,2,"Marbella (8.pl; 18pts), FTD '25 MMFF (16.pl; 10pts)"
Christina Petersen,10,26,1,FTD '25 MMFF (8.pl; 26pts)
Judith Melcher,11,15,1,BtB '24 MF (1.pl; 15pts)
Maja Laloš,12,13,1,Alsace '25 (2.pl; 13pts)
Pia Zeller,13,12,1,Lions '25 (3.pl; 12pts)
Anna Hartje,14,10,1,CISM Euro'24 (3.pl; 10pts)
Anna Bittner,15,8,1,Lions '25 (4.pl; 8pts)
Franziska Bröhl,15,8,1,DBVfF DM'25 (4.pl; 8pts)
Verena Evelyn Reimers,17,6,1,Athens TD '25 (10.pl; 6pts)
Katharina Blank,18,4,1,Lions '25 (5.pl; 4pts)
