name,rank,total,rank_diff,total_diff,comps,details
Moritz Fiebig,1,197,0.0,-79.0,2,"FTD '26 (2.pl; 117pts), CF Games '25 (19.pl; 80pts)"
Julius Kieser,2,175,2.0,59.0,3,"GTD'25 (1.pl; 80pts), WFP 1 London '26 (20.pl; 75pts), WFP Finals '25 (28.pl; 20pts)"
Jan Arnd Finkenberg,3,160,-1.0,15.0,3,"REBEL '26 (1.pl; 120pts), German Classic '26 (1.pl; 20pts), Czechia TD '25 (1.pl; 20pts)"
Lenn Postel,4,117,5.0,65.0,3,"MAD '26 (14.pl; 81pts), DBVfF DM'25 (1.pl; 20pts), Czechia TD '25 (2.pl; 16pts)"
Karl Feldmer,5,80,0.0,-14.0,2,"GTD'25 (3.pl; 64pts), DBVfF DM'25 (2.pl; 16pts)"
Max Hinkofer,6,64,1.0,-11.0,3,"GTD'25 (5.pl; 48pts), German Classic '26 (3.pl; 12pts), Bohemian TD '26 (5.pl; 4pts)"
Robert Dopke,7,63,6.0,37.0,1,MAD '26 (20.pl; 63pts)
Christoph Verrieth,8,48,2.0,1.0,2,"GTD'25 (7.pl; 32pts), German Classic '26 (2.pl; 16pts)"
Eric Zuchold,9,44,-6.0,-86.0,2,"FTD '26 (29.pl; 36pts), DBVfF DM'25 (4.pl; 8pts)"
John Schäffer,10,40,2.0,0.0,1,GTD'25 (6.pl; 40pts)
Tobias Becker,11,38,0.0,-4.0,2,"GTD'25 (7.pl; 32pts), Liege '25 (3.pl; 6pts)"
Benjamin Huxol,12,32,-6.0,-58.0,2,"Liege '25 (1.pl; 20pts), DBVfF DM'25 (3.pl; 12pts)"
Nick Mentzel,13,24,2.0,0.0,1,GTD'25 (8.pl; 24pts)
Siegfried Kramer,14,21,4.0,8.0,2,"Swiss TD (2.pl; 13pts), German Classic '26 (4.pl; 8pts)"
Niklas Plankenhorn,15,20,,20.0,1,Lion '26 (1.pl; 20pts)
Manuel Rath,16,16,,16.0,1,Lion '26 (2.pl; 16pts)
Patrick Klinke,17,12,,12.0,1,Lion '26 (3.pl; 12pts)
Marcel Koppers,18,8,,8.0,1,Lion '26 (4.pl; 8pts)
Jonathan Sindel,19,4,,4.0,1,German Classic '26 (5.pl; 4pts)
Felix Paeper,19,4,,4.0,1,Lion '26 (5.pl; 4pts)
Leon Wagenknecht,20,4,,4.0,1,Turku '26 (5.pl; 4pts)
Christian Höll,21,4,,4.0,1,DBVfF DM'25 (5.pl; 4pts)
